date,week,day,snf,playoffs,rest,o:rest,division,o:division,conference,o:conference,team,P1,P2,P3,P4,o:team,o:P1,o:P2,o:P3,o:P4,line,total,1h diff,2h diff,1h total,2h total,div,con,d_rest
20150910,1,Thursday,0,0,-,-,AFC East,AFC North,AFC,AFC,Patriots,0,14,7,7,Steelers,0,3,8,10,-6.5,51,-11,4,17,32,0,1,0
20150913,1,Sunday,0,0,-,-,NFC North,NFC North,NFC,NFC,Bears,3,10,3,7,Packers,7,3,7,14,6.5,49,-3,11,23,31,1,1,0
20150913,1,Sunday,0,0,-,-,AFC East,AFC South,AFC,AFC,Bills,7,10,7,3,Colts,0,0,8,6,1,45,-17,4,17,24,0,1,0
20150913,1,Sunday,0,0,-,-,AFC West,AFC North,AFC,AFC,Broncos,6,3,7,3,Ravens,0,3,10,0,-4.5,47.5,-6,0,12,20,0,1,0
20150913,1,Sunday,0,0,-,-,NFC South,AFC South,NFC,AFC,Buccaneers,0,7,0,7,Titans,21,14,7,0,-3,41,28,0,42,14,0,0,0
20150913,1,Sunday,0,0,-,-,NFC West,NFC South,NFC,NFC,Cardinals,7,7,3,14,Saints,3,7,3,6,-2,48.5,-4,-8,24,26,0,1,0
20150913,1,Sunday,0,0,-,-,AFC West,NFC North,AFC,NFC,Chargers,3,7,10,13,Lions,7,14,0,7,-3,45.5,11,-16,31,30,0,0,0
20150913,1,Sunday,1,0,-,-,NFC East,NFC East,NFC,NFC,Cowboys,3,3,7,14,Giants,3,10,3,10,-6,51,7,-8,19,34,1,1,0
20150913,1,Sunday,0,0,-,-,AFC South,NFC South,AFC,NFC,Jaguars,3,6,0,0,Panthers,3,7,7,3,3.5,41,1,10,19,10,0,0,0
20150913,1,Sunday,0,0,-,-,AFC East,AFC North,AFC,AFC,Jets,0,14,10,7,Browns,0,10,0,0,-3.5,40,-4,-17,24,17,0,1,0
20150913,1,Sunday,0,0,-,-,AFC West,AFC North,AFC,AFC,Raiders,0,0,0,13,Bengals,7,17,9,0,3,43,24,-4,24,22,0,1,0
20150913,1,Sunday,0,0,-,-,NFC West,NFC West,NFC,NFC,Rams,0,10,14,7,Seahawks,7,3,3,18,3.5,42,0,0,20,42,1,1,0
20150913,1,Sunday,0,0,-,-,NFC East,AFC East,NFC,AFC,Redskins,3,7,0,0,Dolphins,0,7,0,10,3.5,44,-3,10,17,10,0,0,0
20150913,1,Sunday,0,0,-,-,AFC South,AFC West,AFC,AFC,Texans,6,3,0,11,Chiefs,14,13,0,0,0,40.5,18,-11,36,11,0,1,0
20150914,1,Monday,0,0,-,-,NFC South,NFC East,NFC,NFC,Falcons,3,17,0,6,Eagles,0,3,14,7,3,55,-17,15,23,27,0,1,0
20150914,1,Monday,0,0,-,-,NFC West,NFC North,NFC,NFC,Fortyniners,0,7,3,10,Vikings,0,0,0,3,2.5,42,-7,-10,7,16,0,1,0
20150917,2,Thursday,0,0,3,3,AFC West,AFC West,AFC,AFC,Chiefs,0,14,3,7,Broncos,0,14,3,14,-3,42,0,7,28,27,1,1,0
20150920,2,Sunday,0,0,6,6,NFC North,NFC West,NFC,NFC,Bears,7,13,3,0,Cardinals,14,14,14,6,2,45.5,8,17,48,23,0,1,0
20150920,2,Sunday,0,0,6,6,AFC North,AFC West,AFC,AFC,Bengals,7,7,3,7,Chargers,3,3,7,6,-3.5,47,-8,3,20,23,0,1,0
20150920,2,Sunday,0,0,6,9,AFC East,AFC East,AFC,AFC,Bills,7,6,0,19,Patriots,14,10,13,3,0,45,11,-3,37,35,1,1,-3
20150920,2,Sunday,0,0,6,6,AFC North,AFC South,AFC,AFC,Browns,14,7,0,7,Titans,0,0,7,7,0,42,-21,7,21,21,0,1,0
20150920,2,Sunday,0,0,5,6,NFC East,NFC East,NFC,NFC,Eagles,0,0,0,10,Cowboys,3,3,7,7,-5.5,54.5,6,4,6,24,1,1,-1
20150920,2,Sunday,0,0,6,5,NFC East,NFC South,NFC,NFC,Giants,0,13,7,0,Falcons,7,3,0,14,-2.5,49,-3,7,23,21,0,1,1
