PLAYER,TEAM,Pos,Gamelog,roto,excel-name
Josh Allen,Buf,QB,https://www.pro-football-reference.com/players/A/AlleJo02/gamelog/,https://www.rotoworld.com/football/nfl/player/944/josh-allen,Buf Josh Allen
Stefon Diggs,Buf,WR,https://www.pro-football-reference.com/players/D/DiggSt00/gamelog/,https://www.rotoworld.com/football/nfl/player/9728/stefon-diggs,Buf Stefon Diggs
Devin Singletary,Buf,RB,https://www.pro-football-reference.com/players/S/SingDe00/gamelog/,https://www.rotoworld.com/football/nfl/player/51515/devin-singletary,Buf Devin Singletary
Zack Moss,Buf,RB,https://www.pro-football-reference.com/players/M/MossZa00/gamelog/,https://www.rotoworld.com/football/nfl/player/58443/zack-moss,Buf Zack Moss
John Brown,Buf,WR,https://www.pro-football-reference.com/players/B/BrowJo02/gamelog/,https://www.rotoworld.com/football/nfl/player/701/john-brown,Buf John Brown
Cole Beasley,Buf,WR,https://www.pro-football-reference.com/players/B/BeasCo00/gamelog/,https://www.rotoworld.com/football/nfl/player/2104/cole-beasley,Buf Cole Beasley
Dawson Knox,Buf,TE,https://www.pro-football-reference.com/players/K/KnoxDa00/gamelog/,https://www.rotoworld.com/football/nfl/player/50082/dawson-knox,Buf Dawson Knox
Tyler Kroft,Buf,TE,https://www.pro-football-reference.com/players/K/KrofTy00/gamelog/,https://www.rotoworld.com/football/nfl/player/1584/tyler-kroft,Buf Tyler Kroft
Aaron Rodgers,GB,QB,https://www.pro-football-reference.com/players/R/RodgAa00/gamelog/,https://www.rotoworld.com/football/nfl/player/7815/aaron-rodgers,GB Aaron Rodgers
Aaron Jones,GB,RB,https://www.pro-football-reference.com/players/J/JoneAa00/gamelog/,https://www.rotoworld.com/football/nfl/player/7809/aaron-jones,GB Aaron Jones
Davante Adams,GB,WR,https://www.pro-football-reference.com/players/A/AdamDa01/gamelog/,https://www.rotoworld.com/football/nfl/player/7753/davante-adams,GB Davante Adams
Allen Lazard,GB,WR,https://www.pro-football-reference.com/players/L/LazaAl00/gamelog/,https://www.rotoworld.com/football/nfl/player/8542/allen-lazard,GB Allen Lazard
Jamaal Williams,GB,RB,https://www.pro-football-reference.com/players/W/WillJa06/gamelog/,https://www.rotoworld.com/football/nfl/player/7813/jamaal-williams,GB Jamaal Williams
Marquez Valdes-Scantling,GB,WR,https://www.pro-football-reference.com/players/V/ValdMa00/gamelog/,https://www.rotoworld.com/football/nfl/player/7798/marquez-valdes-scantling,GB Marquez Valdes-Scantling
Robert Tonyan,GB,TE,https://www.pro-football-reference.com/players/T/TonyRo00/gamelog/,https://www.rotoworld.com/football/nfl/player/7738/robert-tonyan,GB Robert Tonyan
AJ Dillon,GB,RB,https://www.pro-football-reference.com/players/D/DillAJ00/gamelog/,https://www.rotoworld.com/football/nfl/player/58459/aj-dillon,GB AJ Dillon
Jace Sternberger,GB,TE,https://www.pro-football-reference.com/players/S/SterJa00/gamelog/,https://www.rotoworld.com/football/nfl/player/51658/jace-sternberger,GB Jace Sternberger
Equanimeous St. Brown,GB,WR,https://www.pro-football-reference.com/players/S/St.BEq00/gamelog/,https://www.rotoworld.com/football/nfl/player/7777/equanimeous-st-brown,GB Equanimeous St. Brown
Patrick Mahomes,KC,QB,https://www.pro-football-reference.com/players/M/MahoPa00/gamelog/,https://www.rotoworld.com/football/nfl/player/8824/patrick-mahomes,KC Patrick Mahomes
Travis Kelce,KC,TE,https://www.pro-football-reference.com/players/K/KelcTr00/gamelog/,https://www.rotoworld.com/football/nfl/player/8828/travis-kelce,KC Travis Kelce
Tyreek Hill,KC,WR,https://www.pro-football-reference.com/players/H/HillTy00/gamelog/,https://www.rotoworld.com/football/nfl/player/8826/tyreek-hill,KC Tyreek Hill
Clyde Edwards-Helaire,KC,RB,https://www.pro-football-reference.com/players/E/EdwaCl00/gamelog/,https://www.rotoworld.com/football/nfl/player/58445/clyde-edwards-helaire,KC Clyde Edwards-Helaire
Sammy Watkins,KC,WR,https://www.pro-football-reference.com/players/W/WatkSa00/gamelog/,https://www.rotoworld.com/football/nfl/player/8825/sammy-watkins,KC Sammy Watkins
Darrel Williams,KC,RB,https://www.pro-football-reference.com/players/W/WillDa10/gamelog/,https://www.rotoworld.com/football/nfl/player/8791/darrel-williams,KC Darrel Williams
Mecole Hardman,KC,WR,https://www.pro-football-reference.com/players/H/HardMe00/gamelog/,https://www.rotoworld.com/football/nfl/player/50234/mecole-hardman,KC Mecole Hardman
Demarcus Robinson,KC,WR,https://www.pro-football-reference.com/players/R/RobiDe01/gamelog/,https://www.rotoworld.com/football/nfl/player/8750/demarcus-robinson,KC Demarcus Robinson
Darwin Thompson,KC,RB,https://www.pro-football-reference.com/players/T/ThomDa06/gamelog/,https://www.rotoworld.com/football/nfl/player/51735/darwin-thompson,KC Darwin Thompson
Le'Veon Bell,KC,RB,https://www.pro-football-reference.com/players/B/BellLe00/gamelog/,https://www.rotoworld.com/football/nfl/player/11417/leveon-bell,KC Le'Veon Bell
Tom Brady,TB,QB,https://www.pro-football-reference.com/players/B/BradTo00/gamelog/,https://www.rotoworld.com/football/nfl/player/9951/tom-brady,TB Tom Brady
Chris Godwin,TB,WR,https://www.pro-football-reference.com/players/G/GodwCh00/gamelog/,https://www.rotoworld.com/football/nfl/player/12160/chris-godwin,TB Chris Godwin
Mike Evans,TB,WR,https://www.pro-football-reference.com/players/E/EvanMi00/gamelog/,https://www.rotoworld.com/football/nfl/player/12167/mike-evans,TB Mike Evans
Ronald Jones II,TB,RB,https://www.pro-football-reference.com/players/J/JoneRo01/gamelog/,https://www.rotoworld.com/football/nfl/player/12162/ronald-jones,TB Ronald Jones II
Rob Gronkowski,TB,TE,https://www.pro-football-reference.com/players/G/GronRo00/gamelog/,https://www.rotoworld.com/football/nfl/player/9962/rob-gronkowski,TB Rob Gronkowski
Leonard Fournette,TB,RB,https://www.pro-football-reference.com/players/F/FourLe00/gamelog/,https://www.rotoworld.com/football/nfl/player/8581/leonard-fournette,TB Leonard Fournette
Scotty Miller,TB,WR,https://www.pro-football-reference.com/players/M/MillSc01/gamelog/,https://www.rotoworld.com/football/nfl/player/51833/scotty-miller,TB Scotty Miller
LeSean McCoy,TB,RB,https://www.pro-football-reference.com/players/M/McCoLe01/gamelog/,https://www.rotoworld.com/football/nfl/player/937/lesean-mccoy,TB LeSean McCoy
O.J. Howard,TB,TE,https://www.pro-football-reference.com/players/H/HowaO.00/gamelog/,https://www.rotoworld.com/football/nfl/player/12163/oj-howard,TB O.J. Howard
Justin Watson,TB,WR,https://www.pro-football-reference.com/players/W/WatsJu01/gamelog/,https://www.rotoworld.com/football/nfl/player/12149/justin-watson,TB Justin Watson
Gabriel Davis,Buf,WR,https://www.pro-football-reference.com/players/D/DaviGa01/gamelog/,https://www.rotoworld.com/football/nfl/player/60126/gabriel-davis,Buf Gabriel Davis
Antonio Brown,TB,WR,https://www.pro-football-reference.com/players/B/BrowAn04/gamelog/,https://www.rotoworld.com/football/nfl/player/11415/antonio-brown,TB Antonio Brown
